Time,Ticker,Order,T,Shares,Price,MPID,X
34215489,IBM,6652384,B,300,1802500,,Q
34215493,IBM,6652434,S,300,1807000,,Q
34216400,IBM,6651008,D,0,0,,Q
34216402,IBM,6668801,B,100,1804600,,Q
34216404,IBM,6668858,B,200,1804200,,Q
34217800,IBM,6651009,D,0,0,,Q
34217802,IBM,6699480,B,200,1803800,,Q
34219627,IBM,6733934,B,100,1443700,TMBR,Q
34219627,IBM,6733936,S,100,2167400,TMBR,Q
34220700,IBM,0,T,83,1804800,,Q
34223815,IBM,6806610,S,25,1996500,,Q
34227371,IBM,0,T,100,1804700,,Q
34227373,IBM,0,T,100,1806000,,Q
34229038,IBM,0,T,49,1804800,,Q
34229038,IBM,0,T,351,1804700,,Q
34229360,IBM,0,T,244,1804700,,Q
34229360,IBM,0,T,100,1804700,,Q
34229360,IBM,6668801,F,0,0,,Q
34229360,IBM,6885865,S,100,1806100,,Q
34229398,IBM,6886344,S,456,1804600,,Q
34229399,IBM,0,T,100,1804500,,Q
34229399,IBM,6886344,E,200,0,,Q
34229401,IBM,6886344,E,50,0,,Q
34229401,IBM,6699480,D,0,0,,Q
34229401,IBM,6886344,E,100,0,,Q
34229402,IBM,6886408,B,200,1803900,,Q
34229408,IBM,6886344,E,100,0,,Q
34229409,IBM,6886344,F,0,0,,Q
34229409,IBM,6886527,B,100,1804600,,Q
34229409,IBM,6886531,B,100,1804400,,Q
34229410,IBM,0,T,100,1804800,,Q
34229410,IBM,6886527,F,0,0,,Q
34229444,IBM,6885865,D,0,0,,Q
34229459,IBM,6652434,D,0,0,,Q
34229463,IBM,6652384,D,0,0,,Q
34229496,IBM,6886531,D,0,0,,Q
34229801,IBM,6886408,D,0,0,,Q
34229891,IBM,6893471,B,200,1803900,,Q
34230442,IBM,6915815,B,300,1802500,,Q
34230446,IBM,6915900,S,300,1807000,,Q
34238011,IBM,7056032,B,12,1804600,,Q
34238013,IBM,7056111,B,100,1804600,,Q
34238401,IBM,6668858,D,0,0,,Q
34238401,IBM,6893471,D,0,0,,Q
34242139,IBM,7122269,B,200,1804200,,Q
34242139,IBM,7122271,B,200,1803800,,Q
34242801,IBM,7122271,D,0,0,,Q
34243052,IBM,7136659,B,200,1805300,,Q
34243054,IBM,7056111,D,0,0,,Q
34243054,IBM,7136698,B,100,1805300,,Q
34243401,IBM,7122269,D,0,0,,Q
34243401,IBM,7136659,D,0,0,,Q
34244526,IBM,6915815,D,0,0,,Q
